No ,Kode ,Title ,Harga,Harga Dasar,Keterangan,,,,,,,,,,,
1,SDL 600,SDL 600," 	105,480 "," 	87,900 ","warna:	Abu Merah	,	Bahan:	Rajut 	,	Ukuran:	All Size	,	Keterangan Lain :",,,,,,,,,,,
2,SRT 509,SRT 509," 	105,120 "," 	87,600 ","warna:	Abu Kombinasi	,	Bahan:	Rajut 	,	Ukuran:	All Size	,	Keterangan Lain :",,,,,,,,,,,
3,SRT 701,SRT 701," 	103,920 "," 	86,600 ","warna:	Pink Kombinasi	,	Bahan:	Rajut 	,	Ukuran:	All Size	,	Keterangan Lain :",,,,,,,,,,,
4,SDL 203,SDL 203," 	99,000 "," 	82,500 ","warna:	Putih Merah	,	Bahan:	Rajut 	,	Ukuran:	All Size	,	Keterangan Lain :",,,,,,,,,,,
5,SDL 306,SDL 306," 	99,000 "," 	82,500 ","warna:	Putih Kombinasi	,	Bahan:	Rajut 	,	Ukuran:	All Size	,	Keterangan Lain :",,,,,,,,,,,
6,SDL 292,SDL 292," 	108,000 "," 	90,000 ",warna:,Pink Kombinasi,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
7,SDL 603,SDL 603," 	99,000 "," 	82,500 ",warna:,Kuning Coklat,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
8,SAT 055,SAT 055," 	135,000 "," 	112,500 ",warna:,Ungu,",",Bahan:,Jersey,",",Ukuran:,M-L,",",Keterangan Lain :,,
9,SDL 253,SDL 253," 	99,000 "," 	82,500 ",warna:,Putih Hitam,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
10,SLR 323,SLR 323," 	135,000 "," 	112,500 ",warna:,Hitam,",",Bahan:,Jersey,",",Ukuran:,M-L,",",Keterangan Lain :,,
11,SJR 200,SJR 200," 	141,360 "," 	117,800 ",warna:,Pink,",",Bahan:,Spandek,",",Ukuran:,M-L,",",Keterangan Lain :,,
12,SHR 854,SHR 854," 	152,520 "," 	127,100 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,M-L-XL,",",Keterangan Lain :,,
13,SHJ 179,SHJ 179," 	159,360 "," 	132,800 ",warna:,Putih,",",Bahan:,Wolfit,",",Ukuran:,S-M-L,",",Keterangan Lain :,,
14,SPX 040,SPX 040," 	132,840 "," 	110,700 ",warna:,Maroon,",",Bahan:,Cotton,",",Ukuran:,M-L,",",Keterangan Lain :,,
15,SHJ 170,SHJ 170," 	142,320 "," 	118,600 ",warna:,Toska,",",Bahan:,Spandek,",",Ukuran:,All Size,",",Keterangan Lain :,,
