No ,Kode ,Title,Harga 20%,Harga Dasar,Deskripsi Pendek,,Warna ,,Bahan ,,Ukuran ,,Keterangan,,Heels,stok,Berat,Kategori,Featured Image,Gambar ,,,stock
1,SDL 600,SDL 600,105480,87900,"Warna:Abu Merah,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Abu Merah,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,1.jpg,1.jpg,1,.jpg,1
2,SRT 509,SRT 509,105120,87600,"Warna:Abu Kombinasi,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Abu Kombinasi,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,2.jpg,2.jpg,2,.jpg,1
3,SRT 701,SRT 701,103920,86600,"Warna:Pink Kombinasi,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Pink Kombinasi,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,3.jpg,3.jpg,3,.jpg,1
4,SDL 203,SDL 203,99000,82500,"Warna:Putih Merah,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Putih Merah,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,4.jpg,4.jpg,4,.jpg,1
5,SDL 306,SDL 306,99000,82500,"Warna:Putih Kombinasi,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Putih Kombinasi,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,5.jpg,5.jpg,5,.jpg,1
6,SDL 292,SDL 292,108000,90000,"Warna:Pink Kombinasi,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Pink Kombinasi,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,6.jpg,6.jpg,6,.jpg,1
7,SDL 603,SDL 603,99000,82500,"Warna:Kuning Coklat,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Kuning Coklat,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,7.jpg,7.jpg,7,.jpg,1
8,SAT 055,SAT 055,135000,112500,"Warna:Ungu,Bahan:Jersey,Ukuran:M-L,Keterangan:,Heels:",Warna:,Ungu,",Bahan:",Jersey,",Ukuran:",M-L,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,8.jpg,8.jpg,8,.jpg,1
9,SDL 253,SDL 253,99000,82500,"Warna:Putih Hitam,Bahan:Rajut ,Ukuran:All Size,Keterangan:,Heels:",Warna:,Putih Hitam,",Bahan:",Rajut ,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,9.jpg,9.jpg,9,.jpg,1
10,SLR 323,SLR 323,135000,112500,"Warna:Hitam,Bahan:Jersey,Ukuran:M-L,Keterangan:,Heels:",Warna:,Hitam,",Bahan:",Jersey,",Ukuran:",M-L,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,10.jpg,10.jpg,10,.jpg,1
11,SJR 200,SJR 200,141360,117800,"Warna:Pink,Bahan:Spandek,Ukuran:M-L,Keterangan:,Heels:",Warna:,Pink,",Bahan:",Spandek,",Ukuran:",M-L,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,11.jpg,11.jpg,11,.jpg,1
12,SHR 854,SHR 854,152520,127100,"Warna:Biru,Bahan:Jeans,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Biru,",Bahan:",Jeans,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,12.jpg,12.jpg,12,.jpg,1
13,SHJ 179,SHJ 179,159360,132800,"Warna:Putih,Bahan:Wolfit,Ukuran:S-M-L,Keterangan:,Heels:",Warna:,Putih,",Bahan:",Wolfit,",Ukuran:",S-M-L,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,13.jpg,13.jpg,13,.jpg,1
14,SPX 040,SPX 040,132840,110700,"Warna:Maroon,Bahan:Cotton,Ukuran:M-L,Keterangan:,Heels:",Warna:,Maroon,",Bahan:",Cotton,",Ukuran:",M-L,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,14.jpg,14.jpg,14,.jpg,1
15,SHJ 170,SHJ 170,142320,118600,"Warna:Toska,Bahan:Spandek,Ukuran:All Size,Keterangan:,Heels:",Warna:,Toska,",Bahan:",Spandek,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,15.jpg,15.jpg,15,.jpg,1
16,SHJ 929,SHJ 929,126840,105700,"Warna:Ungu,Bahan:Cotton,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Ungu,",Bahan:",Cotton,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,16.jpg,16.jpg,16,.jpg,1
17,SJR 589,SJR 589,141360,117800,"Warna:Biru,Bahan:Spandek,Ukuran:M-L,Keterangan:,Heels:",Warna:,Biru,",Bahan:",Spandek,",Ukuran:",M-L,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,17.jpg,17.jpg,17,.jpg,1
18,SHJ 948,SHJ 948,126840,105700,"Warna:Pink,Bahan:Cotton,Ukuran:S-M-L-XL,Keterangan:,Heels:",Warna:,Pink,",Bahan:",Cotton,",Ukuran:",S-M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,18.jpg,18.jpg,18,.jpg,1
19,SHJ 416,SHJ 416,133680,111400,"Warna:Merah Bata,Bahan:Spandek,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Merah Bata,",Bahan:",Spandek,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,19.jpg,19.jpg,19,.jpg,1
20,SPX 580,SPX 580,132840,110700,"Warna:Coklat,Bahan:Cotton,Ukuran:M-L,Keterangan:,Heels:",Warna:,Coklat,",Bahan:",Cotton,",Ukuran:",M-L,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,20.jpg,20.jpg,20,.jpg,1
21,SJR 817,SJR 817,141360,117800,"Warna:Tosca,Bahan:Spandek,Ukuran:M-L,Keterangan:,Heels:",Warna:,Tosca,",Bahan:",Spandek,",Ukuran:",M-L,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,21.jpg,21.jpg,21,.jpg,1
22,SCR 018,SCR 018,118320,98600,"Warna:Pink Muda,Bahan:Spandek,Ukuran:All Size,Keterangan:,Heels:",Warna:,Pink Muda,",Bahan:",Spandek,",Ukuran:",All Size,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,22.jpg,22.jpg,22,.jpg,1
23,SHJ 150,SHJ 150,126960,105800,"Warna:Ungu Kombinasi,Bahan:Cotton,Ukuran:M-L-XL,Keterangan:,Heels:",Warna:,Ungu Kombinasi,",Bahan:",Cotton,",Ukuran:",M-L-XL,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,23.jpg,23.jpg,23,.jpg,1
24,SAT 680,SAT 680,138600,115500,"Warna:Pink,Bahan:Spandek Rayon,Ukuran:M-L,Keterangan:,Heels:",Warna:,Pink,",Bahan:",Spandek Rayon,",Ukuran:",M-L,",Keterangan:",,",Heels:",,instock,1,Pakaian->Pakaian Wanita,24.jpg,24.jpg,24,.jpg,1
